Latitude;Longitude;Temp;SA;Specific Humidity at 2 Meters;RH;Eff;Output
-0.41649;115.00791;25.3459;4.9113;0.0188;91.539;0.0315;0.1549
-0.41649;115.15621;25.3459;4.9113;0.0188;91.539;0.0315;0.1549
-0.41649;115.30451;25.3459;4.9113;0.0188;91.539;0.0315;0.1549
-0.41649;115.45281;25.3459;4.9113;0.0188;91.539;0.0315;0.1549
-0.41649;115.60111;25.694;4.9113;0.019;91.3228;0.0301;0.1479
-0.41649;115.74941;25.694;4.9113;0.019;91.3228;0.0301;0.1479
-0.41649;115.89771;25.694;4.9113;0.019;91.3228;0.0301;0.1479
-0.41649;116.04601;25.947;4.783;0.0191;90.6696;0.0298;0.1428
-0.41649;116.19431;25.947;4.783;0.0191;90.6696;0.0298;0.1428
-0.41649;116.34261;25.947;4.783;0.0191;90.6696;0.0298;0.1428
-0.44219;109.86711;26.2978;4.9919;0.0193;90.0822;0.029;0.1447
-0.44219;109.99021;26.2978;4.9919;0.0193;90.0822;0.029;0.1447
-0.44219;110.11331;26.0038;5.0131;0.0192;90.862;0.0293;0.1467
-0.44219;110.23641;26.0038;5.0131;0.0192;90.862;0.0293;0.1467
-0.44219;110.35951;26.0038;5.0131;0.0192;90.862;0.0293;0.1467
-0.44219;110.48261;26.0038;5.0131;0.0192;90.862;0.0293;0.1467
-0.44219;110.60571;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.44219;110.72881;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.44219;110.85191;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.44219;110.97501;25.7079;5.0131;0.019;90.8636;0.0307;0.1542
-0.53789;116.80591;25.9766;4.783;0.0188;89.2287;0.0319;0.1525
-0.53789;116.90041;25.9766;4.783;0.0188;89.2287;0.0319;0.1525
-0.53789;116.99491;25.9766;4.783;0.0188;89.2287;0.0319;0.1525
-0.53789;117.08941;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.53789;117.18391;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.53789;117.27841;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.53789;117.37291;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.53789;117.46741;27.137;4.6922;0.0187;83.4704;0.0348;0.1634
-0.53789;117.56191;27.9288;4.6922;0.0188;80.0258;0.0361;0.1694
-0.53789;117.65641;27.9288;4.6922;0.0188;80.0258;0.0361;0.1694
-0.56429;110.55891;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.56429;110.70721;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.56429;110.85551;25.519;5.0131;0.0188;90.6496;0.032;0.1605
-0.56429;111.00381;25.0462;4.9237;0.0185;90.587;0.0345;0.1698
-0.56429;111.15211;25.0462;4.9237;0.0185;90.587;0.0345;0.1698
-0.56429;111.30041;25.0462;4.9237;0.0185;90.587;0.0345;0.1698
